Company Name 1,Revenue Cr 09,PAT Cr 09,MCAP 09,Company Name 2,Revenue Cr 10,PAT Cr 10,MCAP 10,Company Name 3,Revenue Cr 11,PAT Cr 11,MCAP 11,
Glenmark Pharmaceuticals Ltd.,2267.03,193.47,5582.11,Glenmark Pharmaceuticals Ltd.,2533.81,331.03,7775.75,Glenmark Pharmaceuticals Ltd.,3089.58,457.83,8064.18,
GOCL Corporation Ltd.,1026.76,10.50,580.45,Godfrey Phillips India Ltd.,1445.60,115.07,1829.51,Godfrey Phillips India Ltd.,1650.30,166.13,3611.33,
Godrej Consumer Products Ltd.,1437.77,173.25,6261.81,Godrej Consumer Products Ltd.,2088.51,339.59,13099.33,Godrej Consumer Products Ltd.,3715.89,514.71,13152.47,
Godrej Industries Ltd.,3621.68,111.47,6116.50,Godrej Industries Ltd.,3862.25,203.25,7128.53,Godrej Industries Ltd.,4523.25,293.39,6140.38,
Gokul Refoils & Solvent Ltd.,2880.91,31.10,710.41,Gokul Refoils & Solvent Ltd.,2966.13,38.58,1285.99,Gokul Refoils & Solvent Ltd.,4538.78,61.98,1198.10,
Goodyear India Ltd.,932.67,32.19,414.58,Goodyear India Ltd.,1019.97,73.09,633.37,Goodyear India Ltd.,1421.59,69.76,687.61,
Graphite India Ltd.,1526.33,235.52,1051.47,Graphite India Ltd.,1379.32,234.84,1838.33,Graphite India Ltd.,1478.36,189.11,1439.89,
Grasim Industries Ltd.,18739.75,2186.66,24927.81,Grasim Industries Ltd.,20856.07,3095.53,19928.34,Grasim Industries Ltd.,21982.53,2279.01,21699.09,
Great Eastern Shipping Company Ltd.,4342.56,1417.83,4116.12,Great Eastern Shipping Company Ltd.,3322.20,512.76,4725.35,Great Eastern Shipping Company Ltd.,2740.96,468.70,3613.36,
Greaves Cotton Ltd.,1184.17,44.49,934.70,Greaves Cotton Ltd.,1399.59,117.47,2061.79,Greenply Industries Ltd.,1261.20,23.47,489.83,
GTL Ltd.,1948.63,130.50,2890.24,GTL Ltd.,2288.55,206.14,4134.23,GTL Ltd.,3129.78,185.31,510.26,
Gujarat Alkalies & Chemicals Ltd.,1430.07,192.27,839.23,Gujarat Alkalies & Chemicals Ltd.,1339.91,171.84,914.40,Gujarat Alkalies & Chemicals Ltd.,1446.69,114.31,1031.18,
Gujarat Ambuja Exports Ltd.,1606.09,23.95,320.87,Gujarat Ambuja Exports Ltd.,1423.96,60.03,410.18,Gujarat Ambuja Exports Ltd.,1965.53,93.19,320.17,
Gujarat Gas Company Ltd.[Amalgmated],1342.46,160.65,2584.38,Gujarat Gas Company Ltd.[Amalgmated],1446.31,174.17,5011.37,Gujarat Gas Company Ltd.[Amalgmated],2172.03,306.87,5397.27,
Gujarat Mineral Development Corporation Ltd.,1023.80,236.31,3547.45,Gujarat Mineral Development Corporation Ltd.,1101.56,279.87,4226.07,Gujarat Mineral Development Corporation Ltd.,1453.61,374.76,5384.49,
Hatsun Agro Products Ltd.,1014.87,11.87,313.82,Hatsun Agro Products Ltd.,1143.81,2.79,393.73,Hatsun Agro Products Ltd.,1357.30,18.74,771.15,
HCL Infosystems Ltd.,1251.00,239.95,2674.73,HCL Infosystems Ltd.,1341.76,242.38,2665.79,HCL Infosystems Ltd.,1909.25,168.19,1397.99,
HCL Technologies Ltd.,10491.61,1319.63,21536.23,HCL Technologies Ltd.,12290.60,1259.19,28032.93,HCL Technologies Ltd.,16030.08,1646.51,28849.29,
HDFC Bank Ltd.,19753.75,2248.99,64619.54,HDFC Bank Ltd.,20270.26,3003.65,108238.03,HDFC Bank Ltd.,24628.38,3992.49,109887.20,
Hero MotoCorp Ltd.,12537.80,1281.76,32465.18,Hero MotoCorp Ltd.,16096.14,2231.83,35416.18,Hero MotoCorp Ltd.,19669.29,1927.90,40398.63,
Hexaware Technologies Ltd.,1174.13,58.98,1143.24,Hexaware Technologies Ltd.,1076.04,134.18,1081.26,Hexaware Technologies Ltd.,1372.94,195.71,2538.28,
Hindalco Industries Ltd.,66312.98,485.31,21329.63,Hindalco Industries Ltd.,61044.82,3925.47,35689.22,Hindalco Industries Ltd.,72508.72,2456.37,24473.93,
Hindustan Petroleum Corporation Ltd.,129978.82,757.39,13404.55,Hindustan Petroleum Corporation Ltd.,113304.34,1475.29,18031.75,Hindustan Petroleum Corporation Ltd.,140000.31,1703.60,11934.77,
Hindustan Unilever Ltd.,16848.18,2003.60,57332.14,Hindustan Unilever Ltd.,18180.62,2156.63,63484.67,Hindusthan National Glass & Industries Ltd.,1571.54,58.78,1537.38,
Hindusthan National Glass & Industries Ltd.,1352.30,106.36,1091.91,Hindusthan National Glass & Industries Ltd.,1418.12,154.17,1993.47,Hindusthan National Glass & Industries Ltd.,1571.54,58.78,1537.38,
Honeywell Automation India Ltd.,974.37,81.85,1501.30,Honeywell Automation India Ltd.,1181.38,132.80,2199.85,Honeywell Automation India Ltd.,1457.42,109.23,2192.76,
Housing Development & Infrastructure Ltd.,1782.42,786.53,10917.82,Housing Development & Infrastructure Ltd.,1536.63,566.57,10525.33,Housing Development & Infrastructure Ltd.,1899.88,822.71,3979.84,
Housing Development Finance Corporation Ltd.,11683.02,2310.50,72970.82,Housing Development Finance Corporation Ltd.,12968.53,3240.98,99351.31,Housing Development Finance Corporation Ltd.,25792.63,4528.41,96918.67,
HT Media Ltd.,1379.65,0.90,2935.74,HT Media Ltd.,61044.82,3925.47,35689.22,HT Media Ltd.,1815.17,180.91,3334.47,
ICICI Bank Ltd.,64153.08,3576.95,91286.36,ICICI Bank Ltd.,59599.77,4670.29,123216.47,ICICI Bank Ltd.,61594.70,6093.27,99841.36,
ICSA-India Ltd.,1113.10,168.27,954.62,ICSA-India Ltd.,1245.98,121.51,623.71,ICSA-India Ltd.,1414.91,125.43,275.39,
IDBI Bank Ltd.,13346.85,766.54,8050.13,IDBI Bank Ltd.,17817.00,1020.53,10206.35,IDBI Bank Ltd.,20838.19,1563.51,10277.51,
IDFC Ltd.,3638.14,749.82,18362.74,IDFC Ltd.,4060.87,1062.29,28158.15,IDFC Ltd.,4933.03,1281.65,17838.76,
IFCI Ltd.,1927.21,662.84,4363.38,IFCI Ltd.,2206.23,693.04,4496.26,IFCI Ltd.,2630.51,745.53,2264.78,
IIFL Finance Ltd.,963.09,144.82,4035.76,IIFL Finance Ltd.,1123.87,231.99,3047.98,IIFL Finance Ltd.,1473.95,211.14,2082.82,
India Cements Ltd.,3550.65,422.42,3693.49,India Cements Ltd.,3920.75,351.82,3485.14,India Cements Ltd.,3667.16,65.30,2300.05,
Indiabulls Financial Services Ltd.[Amalgamated],2005.79,99.45,6015.81,Indiabulls Financial Services Ltd.[Amalgamated],1635.04,301.30,4529.30,Indiabulls Financial Services Ltd.[Amalgamated],2509.95,742.75,4991.07,
Indian Bank,7879.16,1255.15,6421.09,Indian Bank,9037.31,1569.81,11338.25,Indian Bank,10550.82,1745.41,8801.92,
Indian Oil Corporation Ltd.,290946.19,2599.40,78320.49,Indian Oil Corporation Ltd.,257559.91,10713.19,104335.37,Indian Oil Corporation Ltd.,313627.87,7830.72,73497.88,
Indian Overseas Bank,11237.23,1325.79,5605.58,Indian Overseas Bank,11389.02,706.96,7444.69,Indian Overseas Bank,13326.57,1072.54,5924.86,
